FIPS Code,State,Area name,Attribute,Value,Year
0,US,United States,Less than a high school diploma,52373312,1970
0,US,United States,High school diploma only,34158051,1970
0,US,United States,Some college (1-3 years),11650730,1970
0,US,United States,Four years of college or higher,11717266,1970
0,US,United States,Percent of adults with less than a high school diploma,47.7,1970
0,US,United States,Percent of adults with a high school diploma only,31.1,1970
0,US,United States,Percent of adults completing some college (1-3 years),10.6,1970
0,US,United States,Percent of adults completing four years of college or higher,10.7,1970
0,US,United States,Less than a high school diploma,44535197,1980
0,US,United States,High school diploma only,45947035,1980
0,US,United States,Some college (1-3 years),20794975,1980
0,US,United States,Four years of college or higher,21558480,1980
0,US,United States,Percent of adults with less than a high school diploma,33.5,1980
0,US,United States,Percent of adults with a high school diploma only,34.6,1980
0,US,United States,Percent of adults completing some college (1-3 years),15.7,1980
0,US,United States,Percent of adults completing four years of college or higher,16.2,1980
0,US,United States,Less than high school graduate,39343718,1990
0,US,United States,High school graduate (or equivalency),47642763,1990
0,US,United States,Some college or associate degree,39571702,1990
0,US,United States,Bachelor's degree or higher,32310253,1990
0,US,United States,Percent of adults who are not high school graduates,24.8,1990
0,US,United States,Percent of adults who are high school graduates (or equivalent),30,1990
0,US,United States,Percent of adults completing some college or associate degree,24.9,1990
0,US,United States,Percent of adults with a bachelor's degree or higher,20.3,1990
0,US,United States,Less than high school graduate,35715625,2000
0,US,United States,High school graduate (or equivalency),52168981,2000
0,US,United States,Some college or associate degree,49864428,2000
0,US,United States,Bachelor's degree or higher,44462605,2000
0,US,United States,Percent of adults who are not high school graduates,19.6,2000
0,US,United States,Percent of adults who are high school graduates (or equivalent),28.6,2000
0,US,United States,Percent of adults completing some college or associate degree,27.4,2000
0,US,United States,Percent of adults with a bachelor's degree or higher,24.4,2000
0,US,United States,Less than high school graduate,29179819,8-12
0,US,United States,High school graduate (or equivalency),57706852,8-12
0,US,United States,Some college or associate degree,59244324,8-12
0,US,United States,Bachelor's degree or higher,58205022,8-12
0,US,United States,Percent of adults who are not high school graduates,14.28031114,8-12
0,US,United States,Percent of adults who are high school graduates (or equivalent),28.24115535,8-12
0,US,United States,Percent of adults completing some college or associate degree,28.99357875,8-12
0,US,United States,Percent of adults with a bachelor's degree or higher,28.48495476,8-12
0,US,United States,Less than high school graduate,24230217,9-23
0,US,United States,High school graduate (or equivalency),59836489,9-23
0,US,United States,Some college or associate degree,64413653,9-23
0,US,United States,Bachelor's degree or higher,79954302,9-23
0,US,United States,Percent of adults who are not high school graduates,10.60706676,9-23
0,US,United States,Percent of adults who are high school graduates (or equivalent),26.19413741,9-23
0,US,United States,Percent of adults completing some college or associate degree,28.1978456,9-23
0,US,United States,Percent of adults with a bachelor's degree or higher,35.00095023,9-23
1000,AL,Alabama,Less than a high school diploma,1062306,1970
1000,AL,Alabama,High school diploma only,468269,1970
1000,AL,Alabama,Some college (1-3 years),136287,1970
1000,AL,Alabama,Four years of college or higher,141936,1970
1000,AL,Alabama,Percent of adults with less than a high school diploma,58.7,1970
1000,AL,Alabama,Percent of adults with a high school diploma only,25.9,1970
1000,AL,Alabama,Percent of adults completing some college (1-3 years),7.5,1970
1000,AL,Alabama,Percent of adults completing four years of college or higher,7.8,1970
1000,AL,Alabama,Less than a high school diploma,964840,1980
1000,AL,Alabama,High school diploma only,704207,1980
1000,AL,Alabama,Some college (1-3 years),278205,1980
1000,AL,Alabama,Four years of college or higher,270063,1980
1000,AL,Alabama,Percent of adults with less than a high school diploma,43.5,1980
1000,AL,Alabama,Percent of adults with a high school diploma only,31.8,1980
1000,AL,Alabama,Percent of adults completing some college (1-3 years),12.5,1980
1000,AL,Alabama,Percent of adults completing four years of college or higher,12.2,1980
1000,AL,Alabama,Less than high school graduate,843638,1990
1000,AL,Alabama,High school graduate (or equivalency),749591,1990
1000,AL,Alabama,Some college or associate degree,553512,1990
1000,AL,Alabama,Bachelor's degree or higher,399228,1990
1000,AL,Alabama,Percent of adults who are not high school graduates,33.1,1990
1000,AL,Alabama,Percent of adults who are high school graduates (or equivalent),29.4,1990
1000,AL,Alabama,Percent of adults completing some college or associate degree,21.7,1990
1000,AL,Alabama,Percent of adults with a bachelor's degree or higher,15.7,1990
1000,AL,Alabama,Less than high school graduate,714081,2000
1000,AL,Alabama,High school graduate (or equivalency),877216,2000
1000,AL,Alabama,Some college or associate degree,746495,2000
1000,AL,Alabama,Bachelor's degree or higher,549608,2000
1000,AL,Alabama,Percent of adults who are not high school graduates,24.7,2000
1000,AL,Alabama,Percent of adults who are high school graduates (or equivalent),30.4,2000
1000,AL,Alabama,Percent of adults completing some college or associate degree,25.9,2000
1000,AL,Alabama,Percent of adults with a bachelor's degree or higher,19,2000
1000,AL,Alabama,Less than high school graduate,551030,8-12
1000,AL,Alabama,High school graduate (or equivalency),991406,8-12
1000,AL,Alabama,Some college or associate degree,918987,8-12
1000,AL,Alabama,Bachelor's degree or higher,705001,8-12
1000,AL,Alabama,Percent of adults who are not high school graduates,17.40228093,8-12
1000,AL,Alabama,Percent of adults who are high school graduates (or equivalent),31.30995723,8-12
