County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Marin County, California(7)",06041,Urban,57.1 ,1.9, 3.3,N/A , N/A , N/A,221,rising,2.6 ,1.9, 3.3
"San Luis Obispo County, California(7)",06079,Urban,55.1 ,1.4, 5.0,N/A , N/A , N/A,210,rising,3.1 ,1.4, 5.0
"Santa Cruz County, California(7)",06087,Urban,46.3 ,3.3, 6.2,N/A , N/A , N/A,151,rising,4.6 ,3.3, 6.2
"Sonoma County, California(7)",06097,Urban,42.2 ,-9.2, 3.1,N/A , N/A , N/A,283,stable,-1.1 ,-9.2, 3.1
"Placer County, California(7)",06061,Urban,40.4 ,1.1, 3.1,N/A , N/A , N/A,216,rising,2.0 ,1.1, 3.1
"El Dorado County, California(7)",06017,Urban,36.8 ,0.5, 3.9,N/A , N/A , N/A,106,rising,2.0 ,0.5, 3.9
"Butte County, California(7)",06007,Urban,36.2 ,2.8, 6.1,N/A , N/A , N/A,97,rising,4.3 ,2.8, 6.1
"Shasta County, California(7)",06089,Urban,33.8 ,-10.9, 0.2,N/A , N/A , N/A,83,stable,-3.4 ,-10.9, 0.2
"Humboldt County, California(7)",06023,Rural,33.6 ,2.1, 4.8,N/A , N/A , N/A,56,rising,3.3 ,2.1, 4.8
"Mono County, California(7)",06051,Rural,33.2 ,-1.9, 7.2,N/A , N/A , N/A,6,stable,2.3 ,-1.9, 7.2
"Amador County, California(7)",06005,Rural,31.5 ,-22.1, 2.9,N/A , N/A , N/A,21,stable,-9.6 ,-22.1, 2.9
"Glenn County, California(7)",06021,Rural,31.3 ,1.5, 10.1,N/A , N/A , N/A,10,rising,5.1 ,1.5, 10.1
"Napa County, California(7)",06055,Urban,30.9 ,-3.3, 2.6,N/A , N/A , N/A,59,stable,0.6 ,-3.3, 2.6
"Tuolumne County, California(7)",06109,Rural,30.4 ,-21.8, 1.6,N/A , N/A , N/A,25,stable,-4.9 ,-21.8, 1.6
"San Diego County, California(7)",06073,Urban,30.3 ,-0.2, 1.1,N/A , N/A , N/A,1104,stable,0.4 ,-0.2, 1.1
"Contra Costa County, California(7)",06013,Urban,30.1 ,-4.7, 2.1,N/A , N/A , N/A,420,stable,-0.3 ,-4.7, 2.1
"Orange County, California(7)",06059,Urban,29.9 ,-0.1, 1.3,N/A , N/A , N/A,1102,stable,0.5 ,-0.1, 1.3
"Modoc County, California(7)",06049,Rural,29.9 ,-6.0, 6.2,N/A , N/A , N/A,3,stable,0.1 ,-6.0, 6.2
"Mendocino County, California(7)",06045,Rural,28.1 ,-0.6, 2.6,N/A , N/A , N/A,37,stable,1.0 ,-0.6, 2.6
"Ventura County, California(7)",06111,Urban,27.3 ,6.2, 15.6,N/A , N/A , N/A,276,rising,10.6 ,6.2, 15.6
"San Mateo County, California(7)",06081,Urban,27.1 ,1.8, 3.2,N/A , N/A , N/A,254,rising,2.4 ,1.8, 3.2
"Santa Barbara County, California(7)",06083,Urban,26.8 ,-8.9, -1.1,N/A , N/A , N/A,135,falling,-3.1 ,-8.9, -1.1
"Inyo County, California(7)",06027,Rural,26.7 ,-0.9, 8.1,N/A , N/A , N/A,8,stable,3.0 ,-0.9, 8.1
