County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)","Average Annual Count",Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Traverse County, Minnesota(6)",27155,Rural,93.9 ,52, 155.8,N/A , N/A , N/A,4,*,*,*,*
"Washington County, Utah(7)",49053,Urban,70 ,64.9, 75.5,N/A , N/A , N/A,159,rising,13.3 ,5.9, 21.5
"Mathews County, Virginia(6)",51115,Urban,68.1 ,45.8, 98.3,N/A , N/A , N/A,9,*,*,*,*
"Summit County, Utah(7)",49043,Rural,66.6 ,56, 78.8,N/A , N/A , N/A,32,rising,5.1 ,3.4, 7.9
"Beaver County, Utah(7)",49001,Rural,66.4 ,41.6, 100.5,N/A , N/A , N/A,5,*,*,*,*
"Olmsted County, Minnesota(6)",27109,Urban,65.1 ,59.7, 70.8,N/A , N/A , N/A,114,falling,-11.4 ,-19.7, -5.1
"Williamsburg City, Virginia(6)",51830,Urban,63 ,46.7, 84.2,N/A , N/A , N/A,11,rising,5.5 ,1.1, 12.3
"Kane County, Utah(7)",49025,Rural,60.8 ,40.6, 88.4,N/A , N/A , N/A,7,*,*,*,*
"Dickinson County, Iowa(7)",19059,Rural,60.5 ,46.2, 78.1,N/A , N/A , N/A,15,rising,5.2 ,3.8, 7.2
"James City County, Virginia(6)",51095,Urban,59.8 ,53.3, 66.9,N/A , N/A , N/A,74,falling,-9.3 ,-19.1, -0.8
"Lexington City, Virginia(6)",51678,Rural,59.8 ,34.4, 97.4,N/A , N/A , N/A,4,*,*,*,*
"White County, Georgia(7)",13311,Rural,58.6 ,47.5, 71.8,N/A , N/A , N/A,22,*,*,*,*
"Marin County, California(7)",06041,Urban,57.1 ,53.6, 60.8,N/A , N/A , N/A,221,rising,2.6 ,1.9, 3.3
"Teton County, Idaho(7)",16081,Rural,56.7 ,37.9, 81.5,N/A , N/A , N/A,7,rising,3.4 ,0.4, 7.7
"Pickens County, Georgia(7)",13227,Urban,56.1 ,46.2, 67.7,N/A , N/A , N/A,26,rising,4.7 ,1.9, 9.0
"Wabasha County, Minnesota(6)",27157,Urban,55.5 ,42.9, 70.7,N/A , N/A , N/A,16,rising,4.9 ,1.6, 9.3
"San Luis Obispo County, California(7)",06079,Urban,55.1 ,51.6, 58.8,N/A , N/A , N/A,210,rising,3.1 ,1.4, 5.0
"Wasatch County, Utah(7)",49051,Rural,54.8 ,43.6, 68,N/A , N/A , N/A,18,*,*,*,*
"Blaine County, Idaho(7)",16013,Rural,54.8 ,43.8, 67.9,N/A , N/A , N/A,19,rising,3.7 ,0.2, 8.8
"Nicollet County, Minnesota(6)",27103,Urban,54.6 ,44.5, 66.3,N/A , N/A , N/A,22,stable,-2.3 ,-8.3, 1.1
"Franklin County, Iowa(7)",19069,Rural,54.1 ,37.5, 76.3,N/A , N/A , N/A,8,*,*,*,*
"Goodhue County, Minnesota(6)",27049,Rural,54.1 ,45.5, 63.8,N/A , N/A , N/A,32,rising,6.1 ,3.6, 9.4
"Lincoln County, Minnesota(6)",27081,Rural,54 ,30.9, 88.2,N/A , N/A , N/A,4,*,*,*,*
"Piatt County, Illinois(7)",17147,Urban,53.3 ,39.4, 70.7,N/A , N/A , N/A,11,rising,5.3 ,2.9, 8.8
"Dodge County, Minnesota(6)",27039,Urban,53.3 ,40.4, 69,N/A , N/A , N/A,12,stable,1.5 ,-2.6, 6.4
"Dawson County, Georgia(7)",13085,Urban,53.2 ,42.4, 66.2,N/A , N/A , N/A,19,rising,3.8 ,0.6, 8.5
"Clay County, Minnesota(6)",27027,Urban,53 ,45.1, 61.9,N/A , N/A , N/A,33,rising,7.9 ,5.1, 11.9
"Lancaster County, Virginia(6)",51103,Rural,53 ,34.8, 77.9,N/A , N/A , N/A,9,rising,8.3 ,3.3, 14.6
"Worcester County, Maryland(6)",24047,Rural,52.9 ,45.5, 61.3,N/A , N/A , N/A,47,stable,3.4 ,-0.3, 12.5
"Cape May County, New Jersey(7)",34009,Urban,51.9 ,46.5, 57.8,N/A , N/A , N/A,85,stable,1.9 ,-9.6, 3.6
"Washington County, Minnesota(6)",27163,Urban,51.2 ,47.5, 55,N/A , N/A , N/A,156,rising,5.0 ,3.6, 6.8
"Sioux County, Iowa(7)",19167,Rural,49.8 ,39.8, 61.6,N/A , N/A , N/A,19,rising,4.5 ,2.7, 7.4
"Mitchell County, Iowa(7)",19131,Rural,49.7 ,32.5, 72.9,N/A , N/A , N/A,6,*,*,*,*
"Douglas County, Nevada(6)",32005,Rural,49.6 ,42.3, 57.9,N/A , N/A , N/A,44,rising,9.5 ,7.3, 13.0
"Winona County, Minnesota(6)",27169,Rural,48.6 ,40.2, 58.3,N/A , N/A , N/A,27,falling,-12.5 ,-21.7, -2.2
"Worth County, Iowa(7)",19195,Rural,48.4 ,28.8, 76.6,N/A , N/A , N/A,4,*,*,*,*
"Cerro Gordo County, Iowa(7)",19033,Rural,48.4 ,40.3, 57.8,N/A , N/A , N/A,30,rising,4.6 ,3.0, 7.0
"Nelson County, Kentucky(7)",21179,Urban,48.2 ,39.9, 57.8,N/A , N/A , N/A,25,rising,2.7 ,0.7, 5.0
"Union County, Florida(6)",12125,Rural,48.2 ,34.6, 65.5,N/A , N/A , N/A,9,*,*,*,*
"Delaware County, Iowa(7)",19055,Rural,48 ,35.1, 64.3,N/A , N/A , N/A,10,rising,5.3 ,3.4, 8.3
"Forsyth County, Georgia(7)",13117,Urban,48 ,44.2, 52,N/A , N/A , N/A,123,falling,-6.3 ,-12.7, -2.3
"Putnam County, Illinois(7)",17155,Rural,47.9 ,26, 81.3,N/A , N/A , N/A,3,*,*,*,*
"Cache County, Utah(7)",49005,Urban,47.7 ,41.8, 54.2,N/A , N/A , N/A,48,rising,4.2 ,2.9, 6.4
"Poquoson City, Virginia(6)",51735,Urban,47.6 ,33.3, 66.6,N/A , N/A , N/A,8,stable,0.4 ,-21.2, 5.0
"Davis County, Utah(7)",49011,Urban,47.4 ,44, 51,N/A , N/A , N/A,148,stable,-2.1 ,-7.3, 3.5
"Lumpkin County, Georgia(7)",13187,Urban,47.4 ,37.5, 59.1,N/A , N/A , N/A,18,stable,-8.3 ,-24.5, 2.5
"Pipestone County, Minnesota(6)",27117,Rural,47.3 ,29.9, 71.3,N/A , N/A , N/A,5,*,*,*,*
"Steele County, Minnesota(6)",27147,Rural,47.3 ,38.1, 58.1,N/A , N/A , N/A,20,falling,-17.8 ,-31.7, -6.1
"Plymouth County, Iowa(7)",19149,Rural,47.2 ,36.5, 60.3,N/A , N/A , N/A,14,*,*,*,*
"Washington County, Illinois(7)",17189,Rural,47.1 ,33.9, 64.2,N/A , N/A , N/A,9,*,*,*,*
"Brown County, Illinois(7)",17009,Rural,47 ,27.2, 76.4,N/A , N/A , N/A,3,*,*,*,*
"Queen Annes County, Maryland(6)",24035,Urban,46.9 ,39.4, 55.6,N/A , N/A , N/A,31,stable,1.5 ,-1.0, 4.6
"St. Johns County, Florida(6)",12109,Urban,46.8 ,43.5, 50.2,N/A , N/A , N/A,171,stable,-1.5 ,-6.7, 3.8
"Marion County, Kentucky(7)",21155,Rural,46.5 ,34.4, 61.6,N/A , N/A , N/A,11,*,*,*,*
"Winneshiek County, Iowa(7)",19191,Rural,46.5 ,33.6, 62.8,N/A , N/A , N/A,10,*,*,*,*
"Santa Cruz County, California(7)",06087,Urban,46.3 ,43, 49.9,N/A , N/A , N/A,151,rising,4.6 ,3.3, 6.2
"Indian River County, Florida(6)",12061,Urban,46.1 ,42.1, 50.4,N/A , N/A , N/A,141,rising,4.4 ,3.4, 5.7
"Habersham County, Georgia(7)",13137,Rural,46 ,38.2, 55,N/A , N/A , N/A,26,rising,3.7 ,1.7, 6.3
"Iron County, Utah(7)",49021,Rural,45.9 ,37.7, 55.4,N/A , N/A , N/A,23,stable,-1.0 ,-11.8, 2.1
"Clay County, Iowa(7)",19041,Rural,45.5 ,32.5, 62,N/A , N/A , N/A,9,*,*,*,*
"Brown County, Minnesota(6)",27015,Rural,45.4 ,34.5, 58.7,N/A , N/A , N/A,14,rising,4.8 ,2.4, 7.8
"Richland County, North Dakota(6)",38077,Rural,45.4 ,31.5, 63.3,N/A , N/A , N/A,8,rising,10.4 ,5.1, 17.7
"Mason County, Illinois(7)",17125,Rural,45.4 ,31.4, 63.8,N/A , N/A , N/A,8,rising,4.4 ,0.1, 9.4
"Cumberland County, Illinois(7)",17035,Rural,45 ,29, 66.9,N/A , N/A , N/A,6,*,*,*,*
"Jefferson County, Montana(6)",30043,Urban,45 ,30.9, 64.1,N/A , N/A , N/A,8,*,*,*,*
"Hall County, Georgia(7)",13139,Urban,45 ,41.1, 49.1,N/A , N/A , N/A,103,rising,2.8 ,1.7, 4.1
"Faribault County, Minnesota(6)",27043,Rural,45 ,31.1, 63.1,N/A , N/A , N/A,8,stable,2.4 ,-2.5, 8.2
"Kossuth County, Iowa(7)",19109,Rural,44.9 ,30.7, 63.5,N/A , N/A , N/A,8,*,*,*,*
"Stillwater County, Montana(6)",30095,Urban,44.8 ,28.3, 68.3,N/A , N/A , N/A,5,*,*,*,*
"Otter Tail County, Minnesota(6)",27111,Rural,44.8 ,37.8, 52.6,N/A , N/A , N/A,37,rising,4.8 ,2.5, 7.5
"Morgan County, Utah(7)",49029,Urban,44.4 ,28.5, 66,N/A , N/A , N/A,5,*,*,*,*
"Woodford County, Illinois(7)",17203,Urban,44.4 ,35.7, 54.6,N/A , N/A , N/A,19,stable,2.7 ,0.0, 6.0
"Towns County, Georgia(7)",13281,Rural,44.3 ,31.1, 62.6,N/A , N/A , N/A,10,stable,1.8 ,-1.2, 5.4
"Carver County, Minnesota(6)",27019,Urban,44.3 ,38.8, 50.3,N/A , N/A , N/A,50,rising,4.7 ,3.0, 7.2
